"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 04, 2021","4,229.89","4,206.05","4,233.45","4,206.05","-","0.88%"
"Jun 03, 2021","4,192.85","4,191.43","4,204.39","4,167.93","-","-0.36%"
"Jun 02, 2021","4,208.12","4,206.82","4,217.37","4,198.27","-","0.14%"
"Jun 01, 2021","4,202.04","4,216.52","4,234.12","4,197.59","-","-0.05%"
"May 28, 2021","4,204.11","4,210.77","4,218.36","4,203.57","-","0.08%"
"May 27, 2021","4,200.88","4,201.94","4,213.38","4,197.78","-","0.12%"
"May 26, 2021","4,195.99","4,191.59","4,202.61","4,184.11","-","0.19%"
"May 25, 2021","4,188.13","4,205.94","4,213.42","4,182.52","-","-0.21%"
"May 24, 2021","4,197.05","4,170.16","4,209.52","4,170.16","-","0.99%"
"May 21, 2021","4,155.86","4,168.61","4,188.72","4,151.72","-","-0.08%"
"May 20, 2021","4,159.12","4,121.97","4,172.80","4,121.97","-","1.06%"
"May 19, 2021","4,115.68","4,098.45","4,116.93","4,061.41","-","-0.29%"
"May 18, 2021","4,127.83","4,165.94","4,169.15","4,125.99","-","-0.85%"
"May 17, 2021","4,163.29","4,169.92","4,171.92","4,142.69","-","-0.25%"
"May 14, 2021","4,173.85","4,129.58","4,183.13","4,129.58","-","1.49%"
"May 13, 2021","4,112.50","4,074.99","4,131.58","4,074.99","-","1.22%"
"May 12, 2021","4,063.04","4,130.55","4,134.73","4,056.88","-","-2.14%"
"May 11, 2021","4,152.10","4,150.34","4,162.04","4,111.53","-","-0.87%"
"May 10, 2021","4,188.43","4,228.29","4,236.39","4,188.13","-","-1.04%"
"May 07, 2021","4,232.60","4,210.34","4,238.04","4,201.64","-","0.74%"
"May 06, 2021","4,201.62","4,169.14","4,202.70","4,147.33","-","0.82%"
"May 05, 2021","4,167.59","4,177.06","4,187.72","4,160.94","-","0.07%"
"May 04, 2021","4,164.66","4,179.04","4,179.04","4,128.59","-","-0.67%"
"May 03, 2021","4,192.66","4,191.98","4,209.39","4,188.03","-","0.27%"
"Apr 30, 2021","4,181.17","4,198.10","4,198.10","4,174.85","-","-0.72%"
"Apr 29, 2021","4,211.47","4,206.14","4,218.78","4,176.81","-","0.68%"
"Apr 28, 2021","4,183.18","4,185.14","4,201.53","4,181.78","-","-0.08%"
"Apr 27, 2021","4,186.72","4,188.25","4,193.35","4,176.22","-","-0.02%"
"Apr 26, 2021","4,187.62","4,185.03","4,194.19","4,182.36","-","0.18%"
"Apr 23, 2021","4,180.17","4,138.78","4,194.17","4,138.78","-","1.09%"
"Apr 22, 2021","4,134.98","4,170.46","4,179.57","4,123.69","-","-0.92%"
"Apr 21, 2021","4,173.42","4,128.42","4,175.02","4,126.35","-","0.93%"
"Apr 20, 2021","4,134.94","4,159.18","4,159.18","4,118.38","-","-0.68%"
"Apr 19, 2021","4,163.26","4,179.80","4,180.81","4,150.47","-","-0.53%"
"Apr 16, 2021","4,185.47","4,174.14","4,191.31","4,170.75","-","0.36%"
"Apr 15, 2021","4,170.42","4,139.76","4,173.49","4,139.76","-","1.11%"
"Apr 14, 2021","4,124.66","4,141.58","4,151.69","4,120.87","-","-0.41%"
"Apr 13, 2021","4,141.59","4,130.10","4,148.00","4,124.43","-","0.33%"
"Apr 12, 2021","4,127.99","4,124.71","4,131.76","4,114.82","-","-0.02%"
"Apr 09, 2021","4,128.80","4,096.11","4,129.48","4,095.51","-","0.77%"
"Apr 08, 2021","4,097.17","4,089.95","4,098.19","4,082.54","-","0.42%"
"Apr 07, 2021","4,079.95","4,074.29","4,083.13","4,068.31","-","0.15%"
"Apr 06, 2021","4,073.94","4,075.57","4,086.23","4,068.14","-","-0.10%"
"Apr 05, 2021","4,077.91","4,034.44","4,083.42","4,034.44","-","1.44%"
"Apr 01, 2021","4,019.87","3,992.78","4,020.63","3,992.78","-","1.18%"
"Mar 31, 2021","3,972.89","3,967.25","3,994.41","3,966.98","-","0.36%"
"Mar 30, 2021","3,958.55","3,963.34","3,968.01","3,944.35","-","-0.32%"
"Mar 29, 2021","3,971.09","3,969.31","3,981.83","3,943.25","-","-0.09%"
"Mar 26, 2021","3,974.54","3,917.12","3,978.19","3,917.12","-","1.66%"
"Mar 25, 2021","3,909.52","3,879.34","3,919.54","3,853.50","-","0.52%"
"Mar 24, 2021","3,889.14","3,919.93","3,942.08","3,889.07","-","-0.55%"
"Mar 23, 2021","3,910.52","3,937.60","3,949.13","3,901.57","-","-0.76%"
"Mar 22, 2021","3,940.59","3,916.48","3,955.31","3,914.16","-","0.70%"
"Mar 19, 2021","3,913.10","3,913.14","3,930.12","3,886.75","-","-0.06%"
"Mar 18, 2021","3,915.46","3,953.50","3,969.62","3,910.86","-","-1.48%"
"Mar 17, 2021","3,974.12","3,949.57","3,983.87","3,935.74","-","0.29%"
"Mar 16, 2021","3,962.71","3,973.59","3,981.04","3,953.44","-","-0.16%"
"Mar 15, 2021","3,968.94","3,942.96","3,970.08","3,923.54","-","0.65%"
"Mar 12, 2021","3,943.34","3,924.52","3,944.99","3,915.21","-","0.10%"
"Mar 11, 2021","3,939.34","3,915.54","3,960.27","3,915.54","-","1.04%"
"Mar 10, 2021","3,898.81","3,891.99","3,917.35","3,885.73","-","0.60%"
"Mar 09, 2021","3,875.44","3,851.93","3,903.76","3,851.93","-","1.42%"
"Mar 08, 2021","3,821.35","3,844.39","3,881.06","3,819.25","-","-0.54%"
"Mar 05, 2021","3,841.94","3,793.58","3,851.69","3,730.19","-","1.95%"
"Mar 04, 2021","3,768.47","3,818.53","3,843.67","3,723.34","-","-1.34%"
"Mar 03, 2021","3,819.72","3,863.99","3,874.47","3,818.86","-","-1.31%"
"Mar 02, 2021","3,870.29","3,903.64","3,906.41","3,868.57","-","-0.81%"
"Mar 01, 2021","3,901.82","3,842.51","3,914.50","3,842.51","-","2.38%"
"Feb 26, 2021","3,811.15","3,839.66","3,861.08","3,789.54","-","-0.48%"
"Feb 25, 2021","3,829.34","3,915.80","3,925.02","3,814.04","-","-2.45%"
"Feb 24, 2021","3,925.43","3,873.71","3,928.65","3,859.60","-","1.14%"
"Feb 23, 2021","3,881.37","3,857.07","3,895.98","3,805.59","-","0.13%"
"Feb 22, 2021","3,876.50","3,885.55","3,902.92","3,874.71","-","-0.77%"
"Feb 19, 2021","3,906.71","3,921.16","3,930.41","3,903.07","-","-0.19%"
"Feb 18, 2021","3,913.97","3,915.86","3,921.98","3,885.03","-","-0.44%"
"Feb 17, 2021","3,931.33","3,918.50","3,933.61","3,900.43","-","-0.03%"
"Feb 16, 2021","3,932.59","3,939.61","3,950.43","3,923.85","-","-0.06%"
"Feb 12, 2021","3,934.83","3,911.65","3,937.23","3,905.78","-","0.47%"
"Feb 11, 2021","3,916.38","3,916.40","3,925.99","3,890.39","-","0.17%"
"Feb 10, 2021","3,909.88","3,920.78","3,931.50","3,884.94","-","-0.03%"
"Feb 09, 2021","3,911.23","3,910.49","3,918.35","3,902.64","-","-0.11%"
"Feb 08, 2021","3,915.59","3,892.59","3,915.77","3,892.59","-","0.74%"
"Feb 05, 2021","3,886.83","3,878.30","3,894.56","3,874.93","-","0.39%"
"Feb 04, 2021","3,871.74","3,836.66","3,872.42","3,836.66","-","1.09%"
"Feb 03, 2021","3,830.17","3,840.27","3,847.51","3,816.68","-","0.10%"
"Feb 02, 2021","3,826.31","3,791.84","3,843.09","3,791.84","-","1.39%"
"Feb 01, 2021","3,773.86","3,731.17","3,784.32","3,725.62","-","1.61%"
"Jan 29, 2021","3,714.24","3,778.05","3,778.05","3,694.12","-","-1.93%"
"Jan 28, 2021","3,787.38","3,755.75","3,830.50","3,755.75","-","0.98%"
"Jan 27, 2021","3,750.77","3,836.83","3,836.83","3,732.48","-","-2.57%"
"Jan 26, 2021","3,849.62","3,862.96","3,870.90","3,847.78","-","-0.15%"
"Jan 25, 2021","3,855.36","3,851.68","3,859.23","3,797.16","-","0.36%"
"Jan 22, 2021","3,841.47","3,844.24","3,852.31","3,830.41","-","-0.30%"
"Jan 21, 2021","3,853.07","3,857.46","3,861.45","3,845.05","-","0.03%"
"Jan 20, 2021","3,851.85","3,816.22","3,859.75","3,816.22","-","1.39%"
"Jan 19, 2021","3,798.91","3,781.88","3,804.53","3,780.37","-","0.81%"
"Jan 15, 2021","3,768.25","3,788.73","3,788.73","3,749.62","-","-0.72%"
"Jan 14, 2021","3,795.54","3,814.98","3,823.60","3,792.86","-","-0.38%"
"Jan 13, 2021","3,809.84","3,802.23","3,820.96","3,791.50","-","0.23%"
"Jan 12, 2021","3,801.19","3,801.62","3,810.78","3,776.51","-","0.04%"
"Jan 11, 2021","3,799.61","3,803.14","3,817.86","3,789.02","-","-0.66%"
"Jan 08, 2021","3,824.68","3,815.05","3,826.69","3,783.60","-","0.55%"
"Jan 07, 2021","3,803.79","3,764.71","3,811.55","3,764.71","-","1.48%"
"Jan 06, 2021","3,748.14","3,712.20","3,783.04","3,705.34","-","0.57%"
"Jan 05, 2021","3,726.86","3,698.02","3,737.83","3,695.07","-","0.71%"
"Jan 04, 2021","3,700.65","3,764.61","3,769.99","3,662.71","-","-1.48%"
